彖	乛豕 vu
乡	乛丿 vp
书	乛丶 vx
乩	丨乛 sv
了	乛丨 vs
偎	亻乀 ry
冁	丷乀 by
匝	匚巾 nj
匠	匚斤 ni
卡	上卜 ub
卧	臣卜 ib
卵	丿丶 px
及	丿乀 py
叚	乛又 vi
喂	口乀 ky
墨	黑土 ht
嬥	女龶 nf
尢	𠂇乛 uv
尹	乛丿 vp
展	尸乀 sy
州	丶丨 xs
巨	匚一 nh
幸	土干 tt
弓	乛乛 vv
弼	弓弓 gg
我	丿丶 px
所	丿斤 pi
承	乛乀 vy
掰	龵手 uu
搌	扌乀 fy
斠	一十 hu
斥	丿丶 px
旅	方乀 fy
曲	丨一 sh
柬	一乀 hy
氐	氏丶 ux
灈	氵龶 df
焘	寿灬 fh
煨	火乀 ly
爟	火龶 lf
片	丿乛 pv
猥	犭乀 qy
畏	田乀 ty
碨	石乀 uy
碾	石乀 uy
穰	禾𧘇 hf
粤	丿乛 pv
粥	弓弓 gg
聘	耳乛 qv
聿	乛丨 vs
肆	一聿 hy
胤	丿乛 pv
臣	匚丨 ns
览	丨见 sq
豆	一一 hh
辗	车乀 iy
辰	厂乀 iy
隈	阝乀 qy
髦	一毛 hm
鬟	一𧘇 hf
鬻	弓丨 gs
鳂	鱼乀 gy
黄	艹八 cz
黑	丨灬 sh
黼	业甫 yf
丛	人一 rh
丢	丿厶 ps
严	亚丿 yp
个	人丨 rs
丫	丷丨 bs
中	丨丨 ss
串	丨丨 ss
乂	丿乀 py
义	丶乂 xx
乐	丿丶 px
买	乛大 vd
乳	丿乛 pv
乾	十乞 uq
予	龴丨 ss
亏	二乛 qv
亓	二丨 qs
井	一丨 hs
亡	亠乛 wv
亨	亠了 wl
亵	亠𧘇 wf
今	人乛 rv
俜	亻乛 rv
俭	亻一 rh
偃	亻女 rn
僇	亻丿 rp
儇	亻𧘇 rf
儳	亻丶 rx
兜	白儿 bq
再	一冉 hr
冢	冖乀 by
凡	几丶 jx
凶	乂凵 xn
凼	水凵 un
利	禾刂 hd
剿	乛刂 vd
助	且力 ql
匐	勹田 bt
卅	一丨 hs
卉	十廾 uc
卓	丨十 su
卫	卩一 qh
卬	丿卩 pq
卺	了乛 lv
压	厂丶 ix
厖	厂丶 ix
厣	厂甲 ij
厾	乛厶 vs
县	且厶 qs
叉	又丶 ix
取	耳又 qi
司	乛口 vk
哀	亠𧘇 wf
啄	口乀 ky
喙	口豕 ku
嘁	口小 kc
嘴	口用 ky
噱	口豕 ku
嚷	口𧘇 kf
囟	丿乂 px
囱	丿夂 pw
圜	囗𧘇 wf
堰	土女 tn
壤	土𧘇 tf
壬	丿士 pt
夏	一夂 hw
夬	乛乀 vy
夷	一乀 hy
夹	一乀 hy
奔	大廾 dc
奥	丿大 pd
娉	女乛 nv
嫪	女丿 np
嬛	女𧘇 nf
孅	女韭 nj
孰	亠丸 ww
官	宀㠯 bk
寥	宀丿 bp
寰	宀𧘇 bf
射	身寸 uc
尕	乃小 nc
尘	小土 ct
尤	尢丶 yx
尨	𠂇丶 ux
尺	尸乀 sy
岙	夭山 yn
岳	丘山 qn
崄	山一 nh
巉	山丶 nx
平	一十 hu
并	丷开 bk
幼	幺力 yl
庸	广丨 bs
廖	广丿 bp
弁	厶廾 sc
异	巳廾 sc
弄	王廾 wc
弇	人廾 rc
弊	丶廾 xc
弯	亠弓 wg
归	丨彐 sn
彬	木丿 mp
彭	士丿 tp
必	丶丶 xx
忝	天⺗ tc
恭	艹⺗ cc
悲	非心 fx
惠	一心 hx
惬	忄夹 xj
愕	忄亏 xk
慕	艹⺗ cc
成	戊乛 wv
戕	爿戈 pg
戚	戊小 wc
戛	一戈 hg
抃	扌卞 fb
拔	扌丶 fx
拳	龹手 ju
挖	扌乛 fv
挛	亠手 wu
捡	扌一 fh
掭	扌⺗ fc
掾	扌豕 fu
揠	扌女 fn
搴	宀手 bu
携	扌乃 fn
摩	广手 bu
摹	艹手 cu
撬	扌毛 fm
擐	扌𧘇 ff
擘	尸手 su
攘	扌𧘇 ff
收	乛攵 vw
敕	束攵 uw
整	束正 uv
斝	口十 ku
斡	十十 uu
斧	八斤 zi
斩	车斤 ii
斶	斤虫 ii
旬	勹日 bp
旭	九日 jp
昪	日廾 pc
晋	亚日 yp
曦	日丶 px
曩	日𧘇 pf
曳	丨丿 sp
本	一一 hh
杂	九朩 jm
束	一乀 hy
来	一乀 hy
桌	丨木 sm
梵	木凡 mf
检	木一 mh
棽	木乛 mv
椽	木豕 mu
槭	木小 mc
樗	木亏 mk
橇	木毛 mm
橐	一木 hm
欣	斤人 ir
武	一止 hv
每	丿母 pm
毐	士毋 tw
毪	毛牛 mn
毫	亠毛 wm
氅	⺌毛 xm
氍	目毛 gm
水	丨乀 sy
沔	氵丏 dm
洚	氵丨 ds
涄	氵乛 dv
涿	氵乀 dy
淠	氵丨 ds
添	氵⺗ dc
渊	氵丨 ds
渰	氵廾 dc
渺	氵少 du
溷	氵豕 du
漻	氵丿 dp
澧	氵一 dh
澴	氵𧘇 df
澽	氵豕 du
牒	片木 pm
牻	牛丶 nx
猃	犭一 qh
班	王王 ww
琢	王乀 wy
瑑	王豕 wu
璆	王丿 wp
璩	王豕 wu
瓣	立十 lu
瓤	亠瓜 wg
甄	西瓦 xw
甓	尸瓦 sw
甗	虍瓦 hw
甦	更生 gu
由	丨一 sh
甲	丨丨 ss
申	丨丨 ss
甸	勹田 bt
甾	乛田 vt
畿	幺田 yt
痹	疒丨 bs
瘃	疒乀 by
瘳	疒丿 bp
癸	乛天 vt
盉	禾皿 hm
眄	目丏 gm
看	龵目 ug
睑	目一 gh
睾	丿干 pt
睿	丨目 sg
示	二小 qc
祓	礻丶 px
禳	礻𧘇 pf
禺	丨丶 sx
禾	丿木 pm
稻	禾臼 hj
究	宀九 bj
穹	宀弓 bg
穿	宀牙 by
窀	宀屯 bt
窊	宀瓜 bg
窍	宀乛 bv
窕	宀丶 bx
窜	宀串 bi
窳	宀瓜 bg
笸	𥫗口 vk
签	𥫗一 vh
箅	𥫗丨 vs
篆	𥫗豕 vu
粼	米乛 hv
繄	匚小 nc
绂	纟丶 sx
继	纟乛 sv
缘	纟豕 su
缪	纟丿 sp
缳	纟𧘇 sf
羼	尸羊 sy
羿	习廾 xc
翳	匚习 nx
耄	耂毛 lm
耽	耳乛 qv
肄	匕聿 by
肇	户聿 hy
胥	乛月 vl
脸	月一 lh
腭	月亏 lk
臧	戊臣 wi
至	一土 ht
舁	臼廾 jc
舒	人丨 rs
舔	千⺗ qc
艴	弗巴 fb
苄	艹卞 cb
莶	艹一 ch
萼	艹亏 ck
蒙	艹乀 cy
蒱	艹甫 cf
蓥	艹金 cj
蓼	艹丿 cp
蔼	艹乛 cv
蕺	艹一 ch
薤	艹韭 cj
藏	艹臣 ci
虑	虍心 hx
虱	乛虫 vi
虺	兀虫 wi
蚩	乛虫 vi
蛋	乛虫 vi
蠡	乛虫 vi
蠹	一虫 hi
血	丿皿 pm
行	彳亍 ii
衍	彳亍 ii
衎	彳亍 ii
衒	彳亍 ii
衔	彳亍 ii
街	彳亍 ii
衙	彳亍 ii
衠	彳亍 ii
衡	彳亍 ii
衷	亠𧘇 wf
袤	亠𧘇 wf
裒	亠𧘇 wf
裣	衤一 ph
裹	亠𧘇 wf
褒	亠𧘇 wf
襄	亠𧘇 wf
襕	衤柬 pj
訇	勹口 bk
诼	讠乀 yy
谬	讠丿 yp
豢	龹豕 ju
豪	亠豕 wu
貌	豸儿 vq
质	丿人 pr
贯	毌人 gr
费	弗人 fr
跋	𧾷丶 zx
辄	车乛 iv
辨	立十 lu
迅	辶十 zu
逼	辶田 zt
遐	辶又 zi
遘	辶冉 zr
遽	辶豕 zu
邈	辶儿 zq
邕	乛巴 vb
邪	牙阝 yq
郾	匚阝 nq
酋	丷酉 bf
醪	酉丿 fp
醴	酉一 fh
醵	酉豕 fu
釉	丿由 py
野	里丨 ts
金	人一 rh
鍪	龴金 sj
鏊	龶金 fj
鏖	广金 bj
鐾	尸金 sj
钷	钅口 jk
锷	钅亏 jk
镠	钅丿 jp
镮	钅𧘇 jf
镶	钅𧘇 jf
陋	阝乛 qv
降	阝丨 qs
险	阝一 qh
隳	阝⺗ qc
隽	亻乃 rn
霭	雨乛 yv
靳	革斤 gi
韩	十韦 uw
韪	日韦 pw
须	丿人 pr
颀	斤人 ir
馥	禾夂 hw
骋	马乛 mv
验	马一 mh
骧	马𧘇 mf
髎	骨丿 gp
髡	一兀 hw
魃	鬼丶 gx
鲅	鱼丶 gx
鳄	鱼亏 gk
鳢	鱼一 gh
鸦	牙鸟 yn
黍	禾氺 hu
黎	禾氺 hu
黏	禾口 hk
黧	禾黑 hh
黹	业丶 yx
鼒	才乛 cv
鼠	臼乛 jv
鼻	自丨 zs
东	一丶 hx
乍	丿一 ph
乖	千匕 qb
乘	千乀 qy
云	二厶 qs
交	亠乂 wx
亥	亠人 wr
享	亠子 wz
亭	亠丁 wd
亮	亠几 wj
亳	亠七 wq
亸	亠丨 ws
仰	亻卩 rq
佩	亻巾 rj
侂	亻七 rq
侔	亻牛 rn
俊	亻夂 rw
俎	人且 rq
俞	人刂 rd
俟	亻矢 ru
俺	亻电 rd
倍	亻口 rk
假	亻又 ri
傅	亻寸 rc
傲	亻攵 rw
僚	亻小 rc
僭	亻日 rp
僻	亻十 ru
儋	亻口 rk
儡	亻田 rt
儦	亻灬 rh
元	二儿 qq
先	𠂒儿 nq
光	⺌兀 xw
克	十儿 uq
兑	丷儿 bq
兖	亠儿 wq
兢	十儿 uq
公	八厶 zs
兰	丷三 bs
共	艹八 cz
关	丷天 bt
兴	𭕄八 xz
兹	丷幺 by
兽	丷口 bk
冀	丨八 sz
内	丨丶 sx
冉	丨一 sh
册	丿一 ph
冥	冖八 bz
决	冫夬 dg
凌	冫夂 dw
凛	冫小 dc
凯	山几 nj
出	乛凵 vn
刀	乛丿 vp
分	八刀 zd
切	七刀 qd
划	戈刂 gd
刖	月刂 ld
刘	文刂 wd
则	冂刂 nd
券	龹刀 jd
剀	山刂 nd
前	丷刂 bd
剐	口刂 kd
剑	人刂 rd
剖	立刂 ld
剟	又刂 id
劂	厂刂 id
劈	尸刀 sd
劐	艹刂 cd
劝	又力 il
功	工力 gl
加	力口 lk
动	二力 ql
劳	艹力 cl
勃	十力 ul
勒	革力 gl
募	艹力 cl
勰	力心 lx
匏	大巳 ds
匙	日匕 pb
卒	亠十 wu
南	十干 ut
博	十寸 uc
卷	龹乛 jv
厌	厂犬 iq
厥	厂人 ir
又	乛乀 vy
友	𠂇又 ui
受	丿又 pi
变	亠又 wi
叟	丿又 pi
召	刀口 dk
史	丨乀 sy
右	𠂇口 uk
吉	士口 tk
吒	口七 kq
吝	文口 wk
含	人口 rk
启	户口 hk
吾	五口 wk
告	𠂒口 nk
周	冂口 nk
咒	口几 kj
哉	十口 uk
哌	口乀 ky
哞	口牛 kn
哭	口犬 kq
哱	口子 kz
唆	口夂 kw
唇	厂口 ik
唉	口矢 ku
售	亻口 rk
唵	口电 kd
啕	口缶 kf
啜	口又 ki
喇	口刂 kd
喋	口木 km
喾	𭕄口 xk
嗍	口月 kl
嗑	口皿 km
嗒	口口 kk
嗖	口又 ki
嗜	口日 kp
嗣	口口 kk
嗥	口十 ku
嗷	口攵 kw
嗽	口人 kr
嘀	口口 kk
嘹	口小 kc
噘	口人 kr
器	口口 kk
噬	口人 kr
噼	口十 ku
嚄	口又 ki
嚆	口口 kk
嚚	口口 kk
嚣	口口 kk
嚼	口寸 kc
四	囗儿 wq
圣	又土 it
在	𠂇土 ut
块	土夬 tg
坰	土口 tk
垄	龙土 lt
垒	厶土 st
垦	艮土 gt
垲	土己 tj
埃	土矢 tu
埒	土寸 tc
埚	土内 tn
埠	土十 tu
埯	土电 td
培	土口 tk
埽	土巾 tj
堕	阝土 qt
堙	土土 tt
堞	土木 tm
堲	既土 gt
堽	土正 tv
塑	丷土 bt
塔	土口 tk
塞	宀土 bt
墓	艹土 ct
壁	尸土 st
夐	𠂊夂 xw
够	勹夕 bx
夫	一乀 hy
夺	大寸 dc
奠	丷大 bd
女	乛一 vh
妾	立女 ln
姜	𦍌女 yn
娄	米女 hn
娟	女月 nl
娲	女内 nn
婴	冂女 nn
婺	龴女 sn
媾	女冉 nr
嫂	女又 ni
嫕	女心 nx
嫠	未女 wn
嫡	女口 nk
嫩	女攵 nw
嫽	女小 nc
嬖	尸女 sn
嬴	亡凡 wf
子	乛一 vh
存	𠂇子 uz
孚	丿子 pz
孛	十子 uz
孜	子攵 zw
孝	耂子 lz
孟	子皿 zm
学	𭕄子 xz
孪	亠子 wz
孱	尸子 sz
孽	艹子 cz
宅	宀七 bq
宏	宀厶 bs
宛	宀乛 bv
密	宀山 bn
寇	宀又 bi
富	宀田 bt
寨	宀朩 bm
寮	宀小 bc
对	又寸 ic
寺	土寸 tc
寻	彐寸 nc
导	巳寸 sc
尊	丷寸 bc
尔	𠂊小 xc
尝	⺌厶 xs
尧	一兀 hw
屣	尸人 sr
峃	𭕄山 xn
峦	亠山 wn
峱	犭山 qn
峻	山夂 nw
崦	山电 nd
嶍	山白 nb
巇	山戈 ng
左	𠂇工 ug
巫	工人 gr
己	乛乛 vv
已	乛乛 vv
巳	乛乛 vv
巷	艹巳 cs
巽	巳八 sz
布	𠂇巾 uj
帚	彐巾 nj
帛	白巾 bj
带	带巾 fj
席	广巾 bj
幂	冖巾 bj
幅	巾田 jt
幕	艹巾 cj
年	丿丨 ps
床	广木 bm
庵	广电 bd
廒	广攵 bw
廿	艹一 ch
弃	亠廾 wc
式	弋工 yg
弑	乂工 xg
彀	士又 ti
彗	丰彐 fn
彟	彐又 ni
徙	彳人 ir
徼	彳攵 iw
忌	己心 jx
忒	弋心 yx
志	士心 tx
快	忄夬 xg
忱	忄乛 xv
思	田心 tx
怠	厶心 sx
急	𠂊心 xx
怨	夕心 xx
总	丷心 bx
恋	亠心 wx
恙	𦍌心 yx
息	自心 zx
恳	艮心 gx
恺	忄己 xj
悉	丿心 px
悒	忄巴 xb
悖	忄子 xz
悛	忄夂 xw
悠	亻心 rx
悯	忄文 xw
惙	忄又 xi
惹	艹心 cx
意	立心 lx
愠	忄皿 xm
慧	丰心 fx
憋	丶心 xx
憭	忄小 xc
憺	忄口 xk
懵	忄目 xg
懿	士心 tx
戆	立心 lx
戋	一丶 hx
戟	十戈 ug
戣	乛戈 vg
戮	习戈 xg
戳	习戈 xg
戴	十八 uz
户	丶尸 xs
扇	户习 hx
扈	户巴 hb
托	扌七 fq
抉	扌夬 fg
拣	扌丶 fx
挨	扌矢 fu
挹	扌巴 fb
捋	扌寸 fc
捏	扌土 ft
捩	扌犬 fq
掇	扌又 fi
掊	扌口 fk
掏	扌缶 ff
掐	扌臼 fj
掩	扌电 fd
掬	扌米 fh
揆	扌天 ft
插	扌臼 fj
揖	扌耳 fq
搏	扌寸 fc
搐	扌田 ft
搔	扌虫 fi
搜	扌又 fi
搠	扌月 fl
搭	扌口 fk
摔	扌十 fu
摘	扌口 fk
摭	扌灬 fh
摴	扌亏 fk
撅	扌人 fr
撇	扌攵 fw
撩	扌小 fc
撵	扌车 fi
攥	扌小 fc
攫	扌又 fi
改	己攵 jw
攻	工攵 gw
放	方攵 fw
敌	千攵 qw
敛	人攵 rw
敬	艹攵 cw
敲	亠又 wi
文	亠乂 wx
旁	亠方 wf
旆	方丨 fs
旨	匕日 bp
旻	日文 pw
昃	日人 pr
昔	艹日 cp
是	日人 pr
普	丷日 bp
晷	日口 pk
暇	日又 pi
暝	日八 pz
暮	艹日 cp
曾	丷日 bp
替	夫日 fp
有	𠂇月 ul
朝	十月 ul
未	一乀 hy
末	一乀 hy
朵	几木 jm
杀	乂朩 xm
杏	木口 mk
杰	木灬 mh
枕	木乛 mv
果	丨乀 sy
枲	厶木 sm
某	甘木 gm
染	氵木 dm
栀	木乛 mv
栽	十木 um
桀	夕木 xm
案	宀木 bm
桊	龹木 jm
桤	木己 mj
桲	木子 mz
梣	木乛 mv
梦	木夕 mx
梭	木夂 mw
棉	木巾 mj
棓	木口 mk
棱	木夂 mw
棻	艹木 cm
棼	木刀 md
椭	木月 ml
楚	木人 mr
楫	木耳 mq
榑	木寸 mc
榫	木十 mu
槊	丷木 bm
槔	木十 mu
槜	木乃 mn
橘	木口 mk
橛	木人 mr
檄	木攵 mw
檐	木口 mk
檗	尸木 sm
檩	木小 mc
欲	八人 zr
歃	千人 qr
歙	人人 rr
歹	一夕 hx
殓	歹一 dh
毁	臼又 ji
毂	士又 ti
气	丿乛 pv
氲	气皿 qm
汆	入水 ru
汛	氵十 du
汞	工水 gu
汩	氵日 dp
沈	氵乛 dv
沉	氵几 dj
沓	水日 up
沛	氵丨 ds
泂	氵口 dk
泉	白水 bu
泓	氵厶 ds
泺	氵乐 dl
派	氵乀 dy
浚	氵夂 dw
浟	氵攵 dw
浥	氵巴 db
涅	氵土 dt
涓	氵月 dl
涡	氵内 dn
涪	氵口 dk
淄	氵田 dt
淏	氵天 dt
淘	氵缶 df
淹	氵电 dd
渑	氵电 dd
温	氵皿 dm
湣	氵日 dp
湮	氵土 dt
溘	氵皿 dm
溚	氵口 dk
溟	氵八 dz
溥	氵寸 dc
溲	氵又 di
滔	氵臼 dj
滴	氵口 dk
漆	氵氺 du
漏	氵雨 dy
漪	氵口 dk
漱	氵人 dr
潏	氵口 dk
潦	氵小 dc
潺	氵子 dz
澍	氵寸 dc
澹	氵口 dk
澼	氵十 du
激	氵攵 dw
濩	氵又 di
濮	氵乀 dy
瀍	氵土 dt
瀵	氵八 dz
瀹	氵艹 dc
灰	𠂇火 ul
灵	彐火 nl
灾	宀火 bl
炔	火夬 lg
炱	厶火 sl
炼	火丶 lx
烁	火乐 ll
焆	火月 ll
焙	火口 lk
焦	亻灬 rh
焰	火臼 lj
熏	丿灬 ph
熜	火心 lx
熬	龶灬 fh
熹	士灬 th
燊	火木 lm
燎	火小 lc
燏	火口 lk
燕	廿灬 nh
燮	火又 li
爚	火艹 lc
父	八乂 zx
牵	大牛 dn
犀	尸牛 sn
犬	大丶 dx
狴	犭土 qt
狷	犭月 ql
狻	犭夂 qw
獒	龶犬 fq
獗	犭人 qr
獠	犭小 qc
玃	犭又 qi
玉	王丶 wx
玦	王夬 wg
玺	𠂊玉 xy
琄	王月 wl
琛	王木 wm
琶	王巴 wb
瑕	王又 wi
璁	王心 wx
璈	王攵 ww
璨	王米 wh
璬	王攵 ww
甘	廿一 nh
电	丨乛 sv
畜	亠田 wt
畲	人田 rt
疁	田丿 tp
疐	十人 ur
瘌	疒刂 bd
瘕	疒又 bi
瘙	疒虫 bi
瘛	疒心 bx
瘟	疒皿 bm
瘦	疒又 bi
瘩	疒口 bk
癖	疒十 bu
癜	疒又 bi
白	丿日 pp
皑	白己 bj
皞	白十 bu
皦	白攵 bw
皴	厶又 si
盖	𦍌皿 ym
盘	舟皿 vm
眈	目乛 gv
眢	夕目 xg
眷	龹目 jg
眸	目牛 gn
睽	目天 gt
瞀	龴目 sg
瞌	目皿 gm
瞍	目又 gi
瞑	目八 gz
瞥	丶目 xg
瞭	目小 gc
瞻	目口 gk
矍	目又 gi
知	矢口 uk
砉	丰石 fu
砻	龙石 lu
砾	石乐 ul
硇	石乂 ux
碚	石口 uk
碟	石木 um
碧	王石 wu
磔	石木 um
磕	石皿 um
磨	广石 bu
磬	士石 tu
社	礻土 pt
祁	礻阝 pq
祟	出小 ic
祭	丿小 pc
祸	礻内 pn
禋	礻土 pt
福	礻田 pt
禒	礻豕 pu
秉	丿乀 py
穷	宀力 bl
穸	宀夕 bx
空	宀工 bg
突	宀犬 bq
窃	宀刀 bd
窄	宀乍 bv
窅	宀目 bg
窈	宀力 bl
窑	宀缶 bf
窒	宀土 bt
窖	宀口 bk
窗	宀夂 bw
窘	宀口 bk
窟	宀出 bi
窠	宀果 bg
窣	宀十 bu
窦	宀大 bd
窨	宀日 bp
窬	宀刂 bd
窭	宀女 bn
窸	宀心 bx
窿	宀生 bu
竑	立厶 ls
竣	立夂 lw
筇	𥫗阝 vq
筱	𥫗攵 vw
篼	𥫗儿 vq
簌	𥫗人 vr
簠	𥫗皿 vm
簪	𥫗日 vp
簿	𥫗寸 vc
籍	𥫗日 vp
籥	𥫗艹 vc
粜	出米 ih
粟	西米 xh
糌	米日 hp
糵	艹米 ch
紊	文小 wc
素	龶小 fc
索	十小 uc
累	田小 tc
縠	士又 ti
縻	广小 bc
繇	丿小 pc
纛	龶小 fc
纮	纟厶 ss
练	纟丶 sx
绉	纟彐 sn
绢	纟月 sl
绫	纟夂 sw
绳	纟电 sd
绵	纟巾 sj
绺	纟口 sk
缀	纟又 si
缁	纟田 st
缉	纟耳 sq
缗	纟日 sp
缚	纟寸 sc
缫	纟果 sg
缬	纟人 sr
缭	纟小 sc
缴	纟攵 sw
缺	缶夬 fg
罂	冂缶 nf
罄	士缶 tf
罨	罒电 sd
罴	罒灬 sh
罽	罒刂 sd
美	𦍌大 yd
羧	⺶夂 yw
羹	𦍌大 yd
翃	𠂇习 ux
翅	十习 ux
翈	甲习 jx
翰	十习 ux
翱	白习 bx
翼	习八 xz
翾	罒习 sx
老	耂匕 lb
者	耂日 lp
耆	耂日 lp
耒	丰乀 fy
耷	大耳 dq
聋	龙耳 lq
肉	内人 nr
肖	⺌月 xl
肩	户月 hl
肯	止月 vl
肱	月厶 ls
育	亠月 wl
肺	月丨 ls
胃	田月 tl
脊	冫月 dl
脖	月子 lz
脟	月寸 lc
脶	月内 ln
腌	月电 ld
腐	广人 br
腽	月皿 lm
膊	月寸 lc
膝	月氺 lu
臀	尸月 sl
臂	尸月 sl
自	丿目 pg
臾	丿乀 py
艘	舟又 vi
芈	丨丨 ss
芾	艹丨 cs
苑	艹乛 cv
范	艹乛 cv
荣	艹木 cm
荦	艹牛 cn
荧	艹火 cl
荸	艹子 cz
